"iata_code";"language_id";"name"
"AUC";"EN";"Arauca Santiago Perez Quiroz Airport"
"AUD";"EN";"Augustus Downs Airport"
"AUE";"EN";"Abu Rudeis Airport"
"AUF";"EN";"Auxerre Branches Airport"
"AUG";"EN";"Augusta Airport"
"AUH";"EN";"Abu Dhabi International Airport"
"AUI";"EN";"Aua Island Airport"
"AUJ";"EN";"Ambunti Airport"
"AUK";"EN";"Alakanuk Airport"
"AUL";"EN";"Aur Island Airport"
"AUM";"EN";"Austin Municipal Airport"
"AUN";"EN";"Auburn Municipal Airport"
"AUO";"EN";"Auburn University Rgnl Airport"
"AUP";"EN";"Agaun Airport"
"AUQ";"EN";"Hiva Oa Atuona Airport"
"AUR";"EN";"Aurillac Airport"
"AUS";"EN";"Austin-Bergstrom Intl Airport"
"AUT";"EN";"Atauro Airport"
"AUU";"EN";"Aurukun Airport"
"AUV";"EN";"Aumo Airport"
"AUW";"EN";"Wausau Downtown Apt Airport"
"AUX";"EN";"Araguaina Airport"
"AUY";"EN";"Anatom Island Airport"
"AUZ";"EN";"Aurora Municipal Airport"
"AVA";"EN";"Anshun Huangguoshu Airport"
"AVB";"EN";"Aviano Air Base Airport"
"AVF";"EN";"Avoriaz Off-line Point"
"AVG";"EN";"Auvergne Station Airport"
"AVI";"EN";"Ciego de Avila Maximo Gomez Airport"
"AVJ";"EN";"Avila Bus Station"
"AVK";"EN";"Arvaikheer Airport"
"AVL";"EN";"Asheville/Hendersonville Rgl Airport"
"AVN";"EN";"Avignon Caumont Airport"
"AVO";"EN";"Avon Park Executive Airport"
"AVP";"EN";"Wilkes-Barre/Scranton Intl Airport"
"AVR";"EN";"Alverca Airport"
"AVS";"EN";"Avila Railway Station"
"AVU";"EN";"Avu Avu Airport"
"AVV";"EN";"Melbourne Avalon Airport"
"AVW";"EN";"Tucson Marana Regional Airport"
"AVX";"EN";"Avalon Catalina Airport"
"AWA";"EN";"Awasa Airport"
"AWB";"EN";"Awaba Airport"
"AWD";"EN";"Aniwa Island Airport"
"AWE";"EN";"Alowe Airport"
"AWK";"EN";"Wake Island Airport"
"AWM";"EN";"West Memphis Municipal Airport"
"AWN";"EN";"Alton Downs Airport"
"AWP";"EN";"Austral Downs Station Airport"
"AWR";"EN";"Awar Airport"
"AWZ";"EN";"Ahwaz Airport"
"AXA";"EN";"Anguilla Clayton J. Lloyd Intl Airport"
"AXB";"EN";"Alexandria Bay Airport"
"AXC";"EN";"Aramac Airport"
"AXD";"EN";"Alexandroupolis Dimokritos Airport"
"AXE";"EN";"Xanxere Joao Winckler Airport"
"AXF";"EN";"Alxa Left Banner Airport"
"AXG";"EN";"Algona Municipal Airport"
"AXJ";"EN";"Amakusa Airport"
"AXK";"EN";"Ataq Airport"
"AXL";"EN";"Alexandria Station Airport"
"AXM";"EN";"Armenia El Eden Intl Airport"
"AXN";"EN";"Alexandria Chandler Field Airport"
"AXP";"EN";"Spring Point Airport"
"AXR";"EN";"Arutua Airport"
"AXS";"EN";"Altus Quartz Moutain Rgnl Airport"
"AXT";"EN";"Akita Airport"
"AXU";"EN";"Axum Airport"
"AXV";"EN";"Wapakoneta Neil Armstrong Airport"
"AXX";"EN";"Angel Fire Airport"
"AYA";"EN";"Ayapel El Cebruno Airport"
"AYC";"EN";"Ayacucho La Gloria Airport"
"AYD";"EN";"Alroy Downs Airport"
"AYE";"EN";"Fort Devens AAF Heliport"
"AYG";"EN";"Yaguara II Airport"
"AYI";"EN";"Yari Airport"
"AYK";"EN";"Arkalyk Airport"
"AYL";"EN";"Anthony Lagoon Airport"
"AYM";"EN";"Abu Dhabi Yas Island SPB Airport"
"AYN";"EN";"Anyang Airport"
"AYO";"EN";"Ayolas Juan de Ayolas Airport"
"AYP";"EN";"Ayacucho Alfredo M. Duarte Airport"
"AYQ";"EN";"Ayers Rock Connellan Airport"
"AYR";"EN";"Ayr Airport"
"AYS";"EN";"Waycross Ware County Airport"
"AYT";"EN";"Antalya Airport"
"AYU";"EN";"Aiyura Airport"
"AYW";"EN";"Ayawasi Airport"
"AYX";"EN";"Lit. Gen. Gerardo Perez Pinedo Airport"
"AYY";"EN";"Pottuvil Arugam Bay SPB Airport"
"AYZ";"EN";"Amityville Zahns Airport"
"AZA";"EN";"Phoenix Mesa Gateway Airport"
"AZB";"EN";"Amazon Bay Airport"
"AZD";"EN";"Yazd Shahid Sadooghi Airport"
"AZG";"EN";"Apatzingan Pablo L. Sidar Airport"
"AZI";"EN";"Abu Dhabi Bateen Airport"
"AZL";"EN";"Sapezal Fazenda Tucunare Airport"
"AZM";"EN";"Macau CZ Bus Station"
"AZN";"EN";"Andizhan Airport"
"AZO";"EN";"Kalamazoo/Battle Creek Intl Airport"
"AZP";"EN";"Mexico City Atizapan-Jimenez Cantu Apt"
"AZR";"EN";"Adrar Touat Airport"
"AZS";"EN";"Samana El Catey Intl Airport"
"AZT";"EN";"Zapatoca Airport"
"AZZ";"EN";"Ambriz Airport"
"BAA";"EN";"Bialla Airport"
"BAB";"EN";"Marysville Beale AFB Airport"
"BAC";"EN";"Barranca de Upia Guadalito Airport"
"BAD";"EN";"Shreveport Barksdale AFB Airport"
"BAE";"EN";"Barcelonnette St-Pons Airport"
"BAF";"EN";"Westfield Barnes Airport"
"BAG";"EN";"Baguio Loakan Airport"
"BAH";"EN";"Bahrain International Airport"
"BAI";"EN";"Buenos Aires Airport"
"BAJ";"EN";"Bali Airport"
"BAK";"EN";"Baku Metropolitan Area"
"BAL";"EN";"Batman Airport"
"BAM";"EN";"Battle Mountain Airport"
"BAN";"EN";"Basongo Airport"
"BAP";"EN";"Baibara Airport"
"BAQ";"EN";"Barranquilla Ernesto Cortissoz Intl Apt"
"BAR";"EN";"Qionghai Bo'ao Airport"
"BAS";"EN";"Balalae Airport"
"BAT";"EN";"Barretos Chafei Amsei Airport"
"BAU";"EN";"Bari Central Railway Stn"
"BAV";"EN";"Baotou Erliban Airport"
"BAW";"EN";"Biawonque Airport"
"BAX";"EN";"Barnaul Airport"
"BAY";"EN";"Baia Mare Airport"
"BAZ";"EN";"Barcelos Airport"
"BBA";"EN";"Balmaceda Airport"
"BBB";"EN";"Benson Municipal Airport"
"BBC";"EN";"Bay City Municipal Airport"
"BBD";"EN";"Brady Curtis Field Airport"
"BBE";"EN";"Buenos Aires Fluvial Bus Station"
"BBF";"EN";"Burlington Airport"
"BBG";"EN";"Butaritari Airport"
"BBH";"EN";"Stralsund Barth Airport"
"BBI";"EN";"Bhubaneshwar Biju Patnaik Airport"
"BBJ";"EN";"Bitburg Airport"
"BBK";"EN";"Kasane Airport"
"BBL";"EN";"Ballera Airport"
"BBM";"EN";"Battambang Airport"
"BBN";"EN";"Bario Airport"
"BBO";"EN";"Berbera Airport"
"BBP";"EN";"Bembridge Airport"
"BBQ";"EN";"Barbuda Codrington Airport"
"BBR";"EN";"Basse-Terre Baillif Airport"
"BBS";"EN";"Blackbushe Airport"
"BBT";"EN";"Berberati Airport"
"BBU";"EN";"Bucharest Baneasa - Aurel Vlaicu Airport"
"BBV";"EN";"Grand Bereby Nero-Mer Airport"
"BBW";"EN";"Broken Bow Municipal Airport"
"BBX";"EN";"Blue Bell Wings Field Airport"
"BBY";"EN";"Bambari Airport"
"BBZ";"EN";"Zambezi Airport"
"BCA";"EN";"Baracoa Gustavo Rizo Airport"
"BCB";"EN";"Blacksburg Virginia Tech Airport"
"BCC";"EN";"Bear Creek Bear Creek 3 Airport"
"BCD";"EN";"Bacolod Silay International Airport"
"BCE";"EN";"Bryce Canyon Airport"
